ah_star,dec_star,ah_scope,dec_scope,err_ah,err_dec,elevation,azimuth,temperature

-1.9724553960717248,-41.346944444444446,-1.9650597713974172,-41.28440457013224,-0.007395624674307655,-0.06253987431220764,58.537010810921075,133.67230164557063,22.9
-1.993026746705568,-47.192499999999995,-1.9846602691510808,-47.13013922767126,-0.008366477554487162,-0.062360772328737823,55.65731967129822,143.05949560826093,22.8
-1.2163766016227306,-43.52861111111111,-1.2080530186331,-43.432836746351214,-0.008323582989630651,-0.09577436475989742,63.71585596981014,147.22226225970869,22.2
-1.969528166213017,-52.75111111111111,-1.9606439397462463,-52.68256191382349,-0.008884226466770784,-0.06854919728761644,52.01629006526663,150.1890990465628,22.2
-2.2190793146568115,-50.88972222222222,-2.210190252694721,-50.83138753668913,-0.008889061962090494,-0.05833468553309018,51.30071705819917,145.54685217518528,20.8
-2.332501641408644,-62.55,-2.3217395413038258,-62.48555028711015,-0.010762100104818373,-0.06444971288984647,43.544989891222926,158.491856337744,20.8
-3.373498810971965,-34.25472222222222,-3.3677609490112808,-34.24455535658293,-0.005737861960684043,-0.0101668656392917,44.39432655048247,116.51274184940314,20.7
-3.3201596931865662,-45.85277777777778,-3.314327199481397,-45.83388837797217,-0.005832493705169028,-0.018889399805608775,42.9212136517941,132.42937963220552,20.6
-3.434657168052979,-35.54138888888889,-3.4293809167886806,-35.533164111585855,-0.005276251264298537,-0.008224777303034614,43.260072659020736,118.26538819481249,20.5
-3.623833814543193,-48.668055555555554,-3.618361933784213,-48.65583429909195,-0.005471880758980419,-0.01222125646360439,40.06877857906946,135.48911689736462,20.3
-4.2678653728525475,-23.29388888888889,-4.2630033778072605,-23.310579136172468,-0.00486199504528706,0.016690247283577264,31.020596000169366,104.5019547818701,20.2
-0.6225549903216034,-27.87777777777778,-0.6171236344784141,-27.763498440149625,-0.005431355843189323,-0.11427933762815456,79.85503725063009,122.98687798761244,20.2
-1.071869591270831,-42.23861111111111,-1.0641001491867907,-42.13463113647493,-0.007769442084040179,-0.10397997463618225,65.7042417879178,147.79934656814186,20.1
-0.12375179722933716,-26.066111111111113,-0.11847875204220237,-25.926439515718364,-0.005273045187134784,-0.13967159539274832,85.81895712034554,144.75668397976395,20.1
-0.44567478854848375,-27.87777777777778,-0.4402640024899416,-27.754722357918038,-0.005410786058542172,-0.12305541985974244,81.72014517959967,130.53329175401979,20.1
-2.5437481700672446,-34.0375,-2.5383294055334016,-34.00424835243954,-0.005418764533843046,-0.03325164756046206,53.776237533227686,117.27039910949682,20.1
-1.126326159068146,-59.374722222222225,-1.1133302852356355,-59.25827715830798,-0.01299587383251044,-0.11644506391424159,51.323571013066584,166.0938980082182,21.7
-4.8413629492805725,-71.67166666666667,-4.849267976773472,-71.66329524951304,0.007905027492899563,-0.008371417153625771,26.368207634103825,160.27909441322163,21.6
-3.90010729590081,-22.749444444444446,-3.894691939118191,-22.763965631182135,-0.00541535678261873,0.014521186737688652,35.6247735277298,102.59452520637024,21.6
-3.2306910593670395,-31.986666666666668,-3.2248507571389364,-31.98046620588743,-0.005840302228103056,-0.006200460779236749,45.97938386483626,113.31580878249889,21.5
4.172001133900372,-62.42027777777778,4.220439954671627,-62.47407028717585,-0.0484388207712545,0.053792509398071786,32.269856273220604,209.13246284388887,21.3
2.0602209406067944,-52.712500000000006,2.1091250017788177,-52.86887477536645,-0.04890406117202328,0.1563747753664444,51.79591247860961,209.71989016678376,21.2
3.954864093692981,-55.00138888888889,3.9980815814160113,-55.06786162024784,-0.043217487723030246,0.06647273135894949,35.80862540667826,217.3314764005029,21.1
2.9058449692986477,-34.065555555555555,2.9415755608738916,-34.190420985216406,-0.03573059157524394,0.12486542966085068,50.04000708395174,243.1212297833343,21.1
1.8788994761430553,-16.74277777777778,1.9104511738663916,-16.930136446235796,-0.031551697723336325,0.18735866845801752,62.54611319618323,276.59041544116593,21.1
1.7056318817202252,-29.006944444444443,1.7414653979611714,-29.19855000377612,-0.03583351624094622,0.191605559331677,66.31295964624239,248.35237987940036,21.0
3.696301154730599,-35.45527777777778,3.729912171808344,-35.54688100366254,-0.03361101707774505,0.09160322588476077,40.73129299746461,241.74864223890614,20.9
2.0453376335918207,-61.97138888888889,2.1052394166990522,-62.12123055965211,-0.05990178310723149,0.14984167076322308,45.16105108490101,199.95247822963807,20.8
5.115316501139974,-74.17166666666667,5.17636801565933,-74.19122169531315,-0.061051514519355976,0.0195550286464794,25.00259659517553,197.07454139565235,20.8
0.5671605900227004,-59.58722222222222,0.6254670811532677,-59.82062240478628,-0.058306491130567295,0.23340018256405415,52.227646533938945,187.0141734749216,20.8
3.767044529320163,-16.18111111111111,3.7947586340193693,-16.268143887835958,-0.02771410469920621,0.08703277672484688,36.53180527326019,265.98208129797797,20.7
0.22917957895167973,-69.815,0.30795244449880954,-70.06514962926747,-0.07877286554712981,0.25014962926746875,42.39252768476651,182.0944412035289,20.6
0.20298959660186533,-59.374722222222225,0.26076908857291237,-59.63111886771618,-0.05777949197104704,0.25639664549395746,52.835577178327235,182.65027145416337,20.7
0.4029069652529067,-43.52861111111111,0.4465447554802999,-43.78696445088923,-0.043637790227393225,0.25835333977811814,68.09490402117555,192.50672699488237,20.6
2.099522888568927,-43.35277777777778,2.142022525796162,-43.515147374702174,-0.04249963722723482,0.16236959692439257,56.850718990481845,223.28298230904102,20.5
-0.3297055870978225,-61.97138888888889,-0.3135856369574501,-61.81292035988348,-0.016119950140372374,-0.15846852900541109,50.54417864861254,175.9613606333406,26.2
