ah_star,dec_star,ah_scope,dec_scope,err_ah,err_dec,elevation,azimuth,temperature,prev_ha,prev_dec

-0.20191488025734472,-16.324527777777778,-0.2001390510269374,-16.21056848299013,-0.0017758292304073109,-0.11395929478764799,83.06755260256277,24.719223164820818,15,-1.975552777777778,0.4214361111111111
-3.9619644291087313,-60.94013888888889,-3.9658755476388827,-60.89881597592936,0.0039111185301514695,-0.04132291295952939,34.246623670940394,149.53407113910524,15,-0.1502138888888889,-16.210566666666665
4.02237388703829,-16.743222222222222,4.050723142721919,-16.874270743446797,-0.028349255683629337,0.13104852122457444,33.77741453150866,264.22856759768234,15,-3.9531500000000004,-60.89881388888889
-0.8715823583849343,-18.488194444444446,-0.8690816069250111,-18.40698066305865,-0.002500751459923123,-0.08121378138579516,77.11531508041949,73.69537570836083,15,4.091869444444444,-16.873908333333333
3.008092947088306,-47.41191666666666,3.04925770216815,-47.57202753311674,-0.041164755079844184,0.16011086645007566,45.94129638040833,223.91164151024498,15,-1.976202777777778,0.4214305555555556
-2.9019825524454834,-36.488083333333336,-2.903771729835194,-36.45508794719529,0.0017891773897105168,-0.03299538613804742,49.26503927237538,120.2671342082594,15,3.082886111111111,-47.572025000000004
1.23467639592646,11.848472222222222,1.25923495012856,11.621387958197761,-0.02455855420210007,0.22708426402446058,51.54075724428368,330.8143513079433,15,-2.789161111111111,-36.45538055555556
-3.8543473929397467,-9.474111111111112,-3.8556471389795384,-9.474503860138405,0.0012997460397916605,0.0003927490272932488,32.84275846098857,86.80616558637622,15,1.280425,11.62138611111111
-1.1111956642353675,-23.533361111111113,-1.1091334581840542,-23.458735612459492,-0.0020622060513133533,-0.0746254986516206,73.8316285687617,96.70015084146388,15,-3.8474583333333334,-9.474502777777777
2.3817001348008784,-43.53472222222222,2.4215753248344303,-43.71979655548544,-0.03987519003355189,0.18507433326321632,53.620434166656175,225.70568784295662,15,-1.1005694444444445,-23.45873333333333
2.0932763821335136,-8.765888888888888,2.1217188313545314,-8.965815339029,-0.028442449221017796,0.19992645014011146,57.47753854674952,289.6875688144143,15,2.431261111111111,-43.719794444444446
-0.7338683489296844,-63.23736111111111,-0.7262470540905497,-63.11680025414545,-0.007621294839134762,-0.12056085696566043,48.64906560727524,171.96904384634993,15,2.2384083333333336,-8.965616666666666
-1.2313951874105982,10.827583333333333,-1.2378662046594417,10.889828844717742,0.00647101724884358,-0.06224551138440937,51.45303663980198,31.899656135487476,15,-0.7139527777777778,-63.1168
-2.402574908405972,-56.89308333333333,-2.4067352302973024,-56.83054074701414,0.004160321891330199,-0.0625425863191893,46.435523755687456,151.49046137175907,15,-1.9762416666666667,0.4213805555555556
-1.7572392529201046,-57.748916666666666,-1.7593198723755439,-57.6759429568673,0.0020806194554392476,-0.07297370979936346,49.767042120577905,157.82697381854683,15,-1.8723527777777778,-56.83139166666667
-1.0501604072105533,10.82761111111111,-1.0529340990225773,10.893702445729335,0.002773691812024026,-0.0660913346182248,52.81420230114747,27.693357547680307,15,-1.0787222222222221,10.894183333333332
5.251739580165363,-61.971833333333336,5.293450834749597,-62.037528922687656,-0.04171125458423486,0.06569558935431985,24.88287604198605,210.49507444928534,15,-1.037725,10.893699999999999
4.961925866148047,-70.54130555555555,5.0175765675168105,-70.61382281576283,-0.055650701368763045,0.07251726020727745,26.409586486470793,200.89636869855795,15,5.30365,-62.037527777777775
4.443182164034419,-72.66705555555556,4.508975454661965,-72.7536135871529,-0.06579329062754624,0.08655803159733466,28.114047062809792,198.07964000764915,15,5.023438888888889,-70.61382222222221
3.869480496600127,-76.99977777777778,3.9580126729033402,-77.10969389116192,-0.0885321763032132,0.10991611338414486,28.734445642870824,192.55019982603812,15,4.515172222222223,-72.75361111111111
1.7232451602484922,-49.53422222222222,1.7674715765704327,-49.75080662154326,-0.044226416321940576,0.216584399321043,55.77736303039313,210.76677699755032,15,3.9762444444444447,-77.10969166666666
1.8809169362555274,-47.82555555555556,1.923715436671838,-48.03390249191563,-0.042798500416310725,0.20834693636007273,55.94106036597086,214.5520294930239,15,1.7749416666666666,-49.75080555555556
2.271831948729,-36.010888888888886,2.308231051651159,-36.20884671028551,-0.03639910292215909,0.19795782139662776,57.89969768317327,237.17289659163066,15,1.936175,-48.033899999999996
4.175306654755358,-24.377388888888888,4.203388372476036,-24.493977330235747,-0.0280817177206778,0.11658844134685964,33.10111248243353,254.6130291182288,15,2.328622222222222,-36.20875
4.369052518431651,-30.402944444444444,4.398247775974394,-30.51315446116003,-0.029195257542742326,0.1102100167155875,32.004306077882305,247.11269733076892,15,4.211452777777778,-24.493975000000002
4.297306059149767,-32.74675,4.327404246883283,-32.85877511210933,-0.030098187733516468,0.11202511210932897,32.656013895107755,244.4189441576509,15,4.407297222222223,-30.513152777777776
2.866714147325876,14.436916666666667,2.8892002612363736,14.286934618464116,-0.022486113910497707,0.1499820482025509,34.68480586148059,307.7383377536092,15,-1.927022222222222,24.826866666666668
1.3056726031322707,-11.289833333333334,1.3345262591675926,-11.529425260805198,-0.028853656035321862,0.23959192747186364,68.42579072125183,297.4417726803783,15,2.9025,14.2872
0.8544076792695314,18.277444444444445,0.8770031425271334,18.033689683890998,-0.022595463257601978,0.24375476055344691,47.764355095598276,342.8708755640906,15,1.3176833333333333,-11.28985
-2.362342828504218,-15.756638888888888,-2.3658084515760827,-15.725416173071535,0.0034656230718645986,-0.031222715817353475,55.30806950527192,85.19015947313916,15,0.8946722222222222,18.033741666666668
